;Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;"Primes versées aux éleveurs
Courses de galop (plat) - 2016";Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;"Primes versées aux propriétaires
Courses de galop (plat) - 2016";Unnamed: 11;Unnamed: 12;Unnamed: 13
0;Encouragements distribués dans le monde en 2016, en euros;;;;;;Chevaux;Primes aux éleveurs;Primes aux éleveurs par cheval;;;Chevaux;Primes aux propriétaires;Primes aux propriétaires par cheval
1;Galop - Plat (Total: 32 pays);;;;;Turquie;6000;16899069;2816.5115;;France;8959;44628621;4981.428842504743
2;Montant des prix et allocations;;Allocation moyenne par course;;;France;8959;20174143;2251.8297801093872;;Japon;22401;110161261;4917.693897593857
3;Etats-Unis;853552913;Hong-Kong;173003.06079404466;;Maroc;2471;4005260;1620.9065155807366;;Canada;4727;19561334;4138.213243071716
4;Japon;664473885;Emirats Arabes Unis;125317.80548628428;;Allemagne;2115;3094037;1462.9016548463358;;Etats-Unis;48211;166767388;3459.1148907925576
5;Australie;389641413;Corée du Sud;79596.45279081899;;Japon;22401;17161794;766.1173161912415;;Mexique;866;2022003;2334.876443418014
6;Corée du Sud;152586400;Venezuela;58344.393624393626;;Australie;35646;22247339;624.1188071592885;;Brésil;5053;11504245;2276.71581238868
7;Hong-Kong;139440467;Singapour;44536.27062706271;;Suède;1122;666398;593.9376114081997;;Inde;5817;12717081;2186.1923671995874
8;France;121729100;Japon;40971.38272290048;;Brésil;5053;1497321;296.3231743518702;;Afrique du Sud;6697;12358445;1845.3703150664476
9;Royaume-Uni;107869540;Irlande;25641.493055555555;;Mexique;866;215764;249.1501154734411;;Australie;35646;38274621;1073.7423834371318
10;Turquie;91336345;France;24428.87818583183;;Italie;3434;521115;151.7516016307513;;Maroc;2471;2148020;869.2917847025495
11;Venezuela;84190960;Etats-Unis;22382.989274663032;;Etats-Unis;48211;2197177;45.57418431478293;;Italie;3434;2615315;761.5943506115317
12;Argentine;51938469;Australie;20185.536600528416;;Inde;5817;104617;17.984700017190992;;Suède;1122;726983;647.9349376114081
13;Emirats Arabes Unis;50252440;Royaume-Uni;17165.74474856779;;Canada;4727;261;0.05521472392638037;;Allemagne;2115;237070;112.08983451536643
14;Canada;49574809;Turquie;16958.10341626439;;;;;;;Turquie;6000;0;0
15;Singapour;40483470;Canada;15291.427822331894;;;;;;;;;;
16;Nouvelle-Zélande;33921510;Nouvelle-Zélande;12643.127096533732;;;;;;;;;;
17;Italie;29978164;Suède;12416.439669421488;;"Primes versées aux éleveurs
Courses de galop (obstacle) - 2016";;;;;"Primes versées aux propriétaires
Courses de galop (obstacle) - 2016";;;
18;Irlande;29539000;Allemagne;11289.423588039866;;;Chevaux;Primes aux éleveurs;Primes aux éleveurs par cheval;;;Chevaux;Primes aux propriétaires;Primes aux propriétaires par cheval
19;Afrique du Sud;28462977;Italie;10873.472615161407;;France;4989;11767113;2358.6115453998796;;Italie;312;106354;340.87820512820514
20;Brésil;16679709;Argentine;9566.857432307976;;Japon;505;644841;1276.9128712871286;;Norvège;23;6958;302.5217391304348
21;Allemagne;13592466;Afrique du Sud;7406.447306791569;;Allemagne;79;32472;411.0379746835443;;Suède;59;5063;85.8135593220339
22;Suède;7511946;Brésil;6366.301145038168;;Norvège;23;1305;56.73913043478261;;Slovaquie;90;3400;37.77777777777778
23;Galop - Obstacle (Total: 17 pays);;;;;Australie;250;0;0;;Royaume-Uni;8544;0;0
24;Montant des prix et allocations;;Allocation moyenne par course;;;Belgique;35;0;0;;France;4989;0;0
25;France;68934921;Japon;179424.4921875;;République Tchèque;515;0;0;;Irlande;4430;0;0
26;Royaume-Uni;52850832;Belgique;50500;;Royaume-Uni;8544;0;0;;République Tchèque;515;0;0
27;Irlande;27278000;Etats-Unis;35864.02;;Hongrie;22;0;0;;Japon;505;0;0
28;Japon;22966335;France;31505.905393053017;;Irlande;4430;0;0;;Etats-Unis;401;0;0
29;Etats-Unis;5379603;Irlande;19142.456140350878;;Italie;312;0;0;;Nouvelle-Zélande;293;0;0
30;Italie;2870572;Italie;17397.40606060606;;Nouvelle-Zélande;293;0;0;;Australie;250;0;0
31;Nouvelle-Zélande;1624775;Nouvelle-Zélande;15184.81308411215;;Pologne;108;0;0;;Pologne;108;0;0
32;République Tchèque;728593;Royaume-Uni;14089.797920554518;;Slovaquie;90;0;0;;Allemagne;79;0;0
33;Suisse;398100;Suisse;11374.285714285714;;Suède;59;0;0;;Suisse;54;0;0
34;Pologne;230259;Suède;8720.625;;Suisse;54;0;0;;Belgique;35;0;0
35;Suède;209295;Allemagne;8199.90909090909;;Etats-Unis;401;0;0;;Hongrie;22;0;0
36;Belgique;202000;Pologne;7675.3;;;;;;;;;;
37;Allemagne;180398;République Tchèque;4922.925675675676;;;;;;;;;;
38;Australie;102765;Slovaquie;2247.6;;"Primes versées aux éleveurs
Courses de trot - 2016";;;;;"Primes versées aux propriétaires
Courses de trot - 2016";;;
39;Slovaquie;56190;Hongrie;2094.4;;;Chevaux;Primes aux éleveurs;Primes aux éleveurs par cheval;;;Chevaux;Primes aux propriétaires;Primes aux propriétaires par cheval
40;Hongrie;20944;Norvège;1242.5714285714287;;France;17120;31043054;1813.2625;;Belgique;1206;3001633;2488.9162520729683
41;Norvège;8698;Australie;1141.8333333333333;;Suède;12815;8266641;645.0753804135778;;Suède;12815;3377517;263.5596566523605
42;Trot (Total: 12 pays);;;;;Belgique;1206;600327;497.7835820895522;;Etats-Unis;18934;0;0
43;Montant des prix et allocations;;Allocation moyenne par course;;;Suisse;305;108486;355.6918032786885;;France;17120;0;0
44;Etats-Unis;397495584;France;22723.67768007816;;Allemagne;2344;650638;277.5759385665529;;Australie;10724;0;0
45;France;255845887;Etats-Unis;9187.462937709464;;;;;;;Canada;6425;0;0
46;Australie;80977244;Suisse;8858.248091603053;;;;;;;Italie;5654;0;0
47;Canada;78605573;Suède;8844.498757062147;;;;;;;Allemagne;2344;0;0
48;Suède;78273814;Nouvelle-Zélande;7495.813048454788;;;;;;;Suisse;305;0;0
49;Italie;52629736;Italie;6460.807267370488;;;;;;;;;;
50;Nouvelle-Zélande;19646526;Canada;6374.630849079555;;;;;;;;;;
51;Allemagne;5862643;Australie;5692.600632688928;;;;;;;;;;
52;Belgique;3601960;Belgique;3686.7553735926303;;;;;;;;;;
53;Suisse;2320861;Allemagne;3634.620582765034;;;;;;;;;;
54;Pologne;117172;Pologne;2343.44;;;;;;;;;;
55;Serbie;104490;Serbie;249.97607655502392;;;;;;;;;;
56;Source: FIAH;;;;;;;;;;;;;
57;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;
62;Trot;2008;;2016;;;;;;;;;;
63;En €;Prix de course;Total encouragements;Prix de course;Base 100 2008;Total encouragements;Base 100 2008;;;;;;;
64;Total monde hors France;698919691;718010475;719635603;102.96399032202972;735995097;102.50478546291403;;;;;;;
65;France;215372015;244157966;255845887;118.79253996857484;299769884;122.77702378959039;;;;;;;
66;Galop - Plat;2008;;2016;;;;;;;;;;
67;En €;Prix de course;Total encouragements;Prix de course;Base 100 2008;Total encouragements;Base 100 2008;;;;;;;
68;Total monde hors France;2264843317;2694713987;2962155877;130.78855631053793;3467884922;128.69213351509575;;;;;;;
69;France;106306453;165437487;121729100;114.5077241924345;197159048;119.17434891887592;;;;;;;
70;Galop - Obstacle;2008;;2016;;;;;;;;;;
71;En €;Prix de course;Total encouragements;Prix de course;Base 100 2008;Total encouragements;Base 100 2008;;;;;;;
72;Total monde hors France;103928453;105830212;115107359;110.75634792716485;115915408;109.52960011078878;;;;;;;
73;France;61990339;75542311;68934921;111.20268434086157;85284366;112.8961569629502;;;;;;;
74;Source: FIAH;;;;;;;;;;;;;
75;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;
81;2016;Prix de course (€);Primes à l'éleveur (€);Primes au propriétaire (€);Indemnités de transport (€);Autres subventions (€);Total;;;;;;;
82;Trot;255845887;31043054;0;6403359;6477584;299769884;;;;;;;
83;Galop - Plat;121729100;20174143;44628621;7050606;3576578;197159048;;;;;;;
84;Galop - Obstacle;68934921;11767113;0;3117103;1465229;85284366;;;;;;;
85;Total;446509908;62984310;44628621;16571068;11519391;582213298;;;;;;;
86;Source: FIAH;;;;;;;;;;;;;
