;Enjeux (en M€);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
0;;Projections mars 2014;Projections avril 2014;Projections janvier 2015;Projections décembre 2015;Projections novembre 2016 (scénario bas);Projections novembre 2016 (scénario haut);Projections janvier 2017;Réalisé;;
1;2014;10135;10135;9962;9979;;;;9978.9;;
2;2015;10303;10303;9922;9783;;;;9796.9;;
3;2016;10590;10317;10223;9899;9658;9658;;9738.5;;
4;2017;10994;10659;10527;10029;10167;10207;;9928.6;;
5;2018;11391;10980;10866;10256;10349;10465;;;;
6;2019;11856;11379;11154;10533;10746;11028;;;;
7;2020;12385;11842;11486;10775;11081;11506;11227;;;
8;2021;;;;;11387;11881;;;;
9;;;;;;;;;;;
10;;;;;;;;;;;
11;Résultat net PMU (en M€);;;;;;;;;;
12;;Projections mars 2014;Projections avril 2014;Projections janvier 2015;Projections décembre 2015;Projections juillet 2016 (scénario bas);Projections juillet 2016 (scénario haut);Projections novembre 2016 (scénario bas);Projections novembre 2016 (scénario haut);Projections janvier 2017;Réalisé
13;2014;844;844;849;850;;;;;;849.5
14;2015;844;844;805;808;;;;;;806.7
15;2016;854;818;805;798;;;794;794;;796.1
16;2017;883;839;814;810;750;784;779;782;;792.2
17;2018;897;844;850;817;;;786;797;;
18;2019;939;877;886;842;;;809;836;;
19;2020;973;902;903;871;750;842;831;871;852;
20;2021;;;;;;;847;892;;
