;Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16
0;;;;;;;;;;;;;;;;;
1;Betting statistics - France;;;;;;;Betting statistics - France;;;;;;;;;
2;;Enjeux;Part reversée aux parieurs;Part reversée à l'Etat;Part conservée par le PMU et les sociétés-mères (charges hors reversements à la filière);Part reversée à la filière hippique;;Enjeux;Part reversée aux parieurs;;Part reversée à l'Etat;;Part conservée par le PMU et les sociétés-mères (charges hors reversements à la filière);;Part reversée à la filière hippique;;Total
3;1999;5678277429.008304;0.6934067337697691;0.1539143474814455;0.06461667005298555;0.08806224869579986;;5678277429.008304;3937355805.48725;0.6934067337697691;873968365.3044331;0.1539143474814455;366911379.09954464;0.06461667005298555;500041879.1170763;0.08806224869579986;1
4;2000;6023486478.686865;0.6971988924399727;0.1497838580106234;0.0736028314708282;0.07941441807857574;;6023486478.686865;4199568101.567633;0.6971988924399727;902221043.4525434;0.1497838580106234;443345660.1576018;0.0736028314708282;478351673.5090867;0.07941441807857574;1
5;2001;6406165058;0.7052411561513031;0.14402203543722678;0.07238633812922277;0.07526538773737602;;6406165058;4517891252;0.7052411561513031;922628931;0.14402203543722678;463718830;0.07238633812922277;482162497;0.07526538773737602;0.9969149174551287
6;2002;6653300486;0.7138826220150971;0.13827350364466914;0.06985808065906735;0.0745708667516208;;6653300486;4749675596;0.7138826220150971;919975169;0.13827350364466914;464786802;0.06985808065906735;496142384;0.0745708667516208;0.9965850730704545
7;2003;7247806433;0.7204937959192321;0.13465259110073147;0.06681094597052686;0.07509817901893187;;7247806433;5221999569;0.7204937959192321;975935916;0.13465259110073147;484232804;0.06681094597052686;544297065;0.07509817901893187;0.9970555120094223
8;2004;7771104627;0.7265732025254844;0.13126504531361524;0.06264791176643104;0.07730680023438578;;7771104627;5646276376;0.7265732025254844;1020074401;0.13126504531361524;486843477;0.06264791176643104;600759233;0.07730680023438578;0.9977929598399164
9;2005;8207144886;0.7286694431581648;0.1289417125808494;0.06076700093972241;0.07953824808351263;;8207144886;5980295694;0.7286694431581648;1058243317;0.1289417125808494;498723581;0.06076700093972241;652781926;0.07953824808351263;0.9979164047622493
10;2006;8301610124;0.7297433438226832;0.12613652633152736;0.05821209473604521;0.08352997341988883;;8301610124;6058044731;0.7297433438226832;1047136264;0.12613652633152736;483254115;0.05821209473604521;693433273;0.08352997341988883;0.9976219383101446
11;2007;9035972675;0.7411544329398938;0.12113112736919604;;;;9035972675;6697051204;0.7411544329398938;1094537557;0.12113112736919604;;;;;
12;2008;9464595877;0.7484306437440086;0.11800218271485317;0.053412705261773746;0.07785759672958935;;9464595877;7083593585;0.7484306437440086;1116842972;0.11800218271485317;505529670;0.053412705261773746;736890689;0.07785759672958935;0.9977031284502249
13;2009;9483656988;0.7483853135958654;0.11798498347376121;0.05232729986206034;0.08130240306831309;;9483656988;7097429609;0.7483853135958654;1118929113;0.11798498347376121;496254163;0.05232729986206034;771044103;0.08130240306831309;0.9999999999999999
14;2010;9502340889;0.7466915853559418;0.10644336735707693;0.05733584643660746;0.08692380737005151;;9502340889;7095317983;0.7466915853559418;1011461162;0.10644336735707693;544824758;0.05733584643660746;825979649;0.08692380737005151;0.9973946065196777
15;2011;9920064368;0.7489281967731684;0.09889060127114692;0.052531403796229885;0.09554732568646575;;9920064368;7429415919;0.7489281967731684;981001130;0.09889060127114692;521114907;0.052531403796229885;947835621;0.09554732568646575;0.9958975275270109
16;2012;9955922932;0.7482667717380036;0.09828064848262527;0.05278098129014324;0.09438833068700977;;9955922932;7449686312;0.7482667717380036;978474562;0.09828064848262527;525483382;0.05278098129014324;939722946;0.09438833068700977;0.9937167321977819
17;2013;9764564001;0.7431004251963426;0.09565459736905256;0.05426667682712032;0.0910252391104175;;9764564001;7256051661;0.7431004251963426;934025438;0.09565459736905256;529890439;0.05426667682712032;888821773;0.0910252391104175;0.9840469385029329
18;2014;9276729801;0.7366059438600221;0.09956266236194972;0.055293208059666324;0.08860010527755156;;9276729801;6833294311;0.7366059438600221;923615917;0.09956266236194972;512940151;0.055293208059666324;821919237;0.08860010527755156;0.9800619195591896
19;2015;9083498544;0.7362218419044423;0.09871532170743749;0.07631316696339198;0.08874966942472821;;9083498544;6687470029;0.7362218419044423;896680481;0.09871532170743749;693190541;0.07631316696339198;806157493;0.08874966942472821;0.9999999999999999
20;2016;8950528721;0.7292843982149376;0.09626555032200762;0.08550188540308915;0.08894816605996565;;8950528721;6527480952;0.7292843982149376;861627573;0.09626555032200762;765287081;0.08550188540308915;796133115;0.08894816605996565;1
21;Source: FIAH;;;;;;;Source: FIAH;;;;;;;;;
