;En M€;2009;2010;2011;2012;2013;2014;2015;2016;2017
0;Enjeux totaux PMU;9302.49;9539.77;10237.24;10498.25;10405.25;9978.8;9796.87;9738.26;9928.62
1;Enjeux hippiques totaux PMU;9302.49;9342.16;9765.49;9817.61;9636.17;9158.59;8992.17;8896.2;9072.31
2;Enjeux hippiques offline PMU;8635;8593;8890;8846;8689.0;8315.6;8171.0;8187.0;8311.22
3;dont international;130.16;147.74;176.45;329.66;638.28;727.59;807.66;1042.0;1146.67
4;dont grand public;NC;NC;NC;NC;354.17999999999995;344.49;385.5;416.0;354.0
5;dont parieurs pros;NC;NC;NC;NC;284.1;383.1;422.1;626.0;793.0
6;parieurs pros en % du hippique offline;NC;NC;NC;NC;0.032696512832316726;0.04607003703881861;0.05165830375719006;0.07646268474410652;0.095413188436836
7;dont France;8504.84;8464.4;8714.5;8515.85;8054.7;7588.03;7363.24;7144.76;7164.56
8;taux de croissance annuel offline France;NC;-0.004754939540308872;0.029547280374273472;-0.022795341098169674;-0.05415196369123464;-0.05793760164872684;-0.02962428983543818;-0.029671720601256998;0.0027712617358735888
9;Enjeux hippiques online PMU (M€);667.49;730.02;874.55;972.1;943.19;842.98;821.28;709.44;761.09
10;Enjeux sportifs online (M€);;43.67;100.2;162.59;198.96;228.66;236.86;283.47;265.16
11;Enjeux poker online (M€);;153.94;371.55;518.05;570.12;591.55;567.84;558.59;591.14
12;Source: PMU.;;;;;;;;;
